Name,Sector,URL,URL2
Gulf Canadian Real Estate Investment Co. (CCRS),Real Estate Developers,https://www.marketwatch.com/investing/Stock/CCRS?countryCode=EG,https://www.marketwatch.com/investing/stock/ccrs/download-data?countrycode=eg&mod=mw_quote_tab
Heliopolis Co. for Housing & Development (HELI),Real Estate Developers,https://www.marketwatch.com/investing/Stock/HELI?countryCode=EG,https://www.marketwatch.com/investing/stock/heli/download-data?countrycode=eg&mod=mw_quote_tab
Holding Co. for Financial Investment Lakah Group (HCFI),Diversified Holding Companies,https://www.marketwatch.com/investing/Stock/HCFI?countryCode=EG,https://www.marketwatch.com/investing/stock/hcfi/download-data?countrycode=eg&mod=mw_quote_tab
Housing & Development Bank (HDBK),Banking,https://www.marketwatch.com/investing/Stock/HDBK?countryCode=EG,https://www.marketwatch.com/investing/stock/hdbk/download-data?countrycode=eg&mod=mw_quote_tab
Ibnsina Pharma (ISPH),Drug Retail,https://www.marketwatch.com/investing/Stock/ISPH?countryCode=EG,https://www.marketwatch.com/investing/stock/isph/download-data?countrycode=eg&mod=mw_quote_tab
Industrial Engineering Co. for Construction & Development (ICON) (ENGC),Building Materials/Products,https://www.marketwatch.com/investing/Stock/ENGC?countryCode=EG,https://www.marketwatch.com/investing/stock/engc/download-data?countrycode=eg&mod=mw_quote_tab
Integrated Diagnostics Holdings PLC (IDHC),Healthcare Provision,https://www.marketwatch.com/investing/Stock/IDHC?countryCode=EG,https://www.marketwatch.com/investing/stock/idhc/download-data?countrycode=eg&mod=mw_quote_tab
International Agricultural Products (IFAP),Farming,https://www.marketwatch.com/investing/Stock/IFAP?countryCode=EG,https://www.marketwatch.com/investing/stock/ifap/download-data?countrycode=eg&mod=mw_quote_tab
International Business Corp. for Trading & Agencies (IBCT),Commercial Vehicles,https://www.marketwatch.com/investing/Stock/IBCT?countryCode=EG,https://www.marketwatch.com/investing/stock/ibct/download-data?countrycode=eg&mod=mw_quote_tab
International Co. for Fertilizers & Chemicals (ICFC),Chemicals,https://www.marketwatch.com/investing/Stock/ICFC?countryCode=EG,https://www.marketwatch.com/investing/stock/icfc/download-data?countrycode=eg&mod=mw_quote_tab
International Co. for Investment & Development (ICID),Finance Companies,https://www.marketwatch.com/investing/Stock/ICID?countryCode=EG,https://www.marketwatch.com/investing/stock/icid/download-data?countrycode=eg&mod=mw_quote_tab
